Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5EG1wxPl8WmKaPdsOd2ylQ,"Humdrum","Club Memories","Obsimo",2022-04-07,235133,40,false,12141338138,2026-06-05T17:30:25Z,"","Obsimo",0.683,0.708,10,-9.809,0,0.0288,0.0189,0.909,0.0491,0.135,119.995,4
spotify:track:3ob2S51zdUaMEggQpQuNbk,"Promises Prelude","KAFKAESQUE","Stanford Lin",2021-03-07,154871,35,true,12141338138,2026-06-05T17:30:42Z,"","Findingfound",0.777,0.685,1,-11.953,1,0.0512,0.101,0.8,0.115,0.445,116.961,4
spotify:track:6OziMNzrB7U4DxYicno2wL,"Tonsee","Tonsee","Tender Games",2020-09-18,250862,6,false,12141338138,2026-06-05T17:30:49Z,"lo-fi house","Midnight Snacks",0.779,0.697,9,-9.293,0,0.0422,0.12,0.831,0.0722,0.583,126.997,4
spotify:track:0be8zNjfCESDccPBY0C4ZQ,"Sonata N°1 (Allegro, Piano Sonata No. 1) - Beethoven Remixed","Sonata N°1 (Allegro, Piano Sonata No. 1) [Beethoven Remixed]","Vladimir Cauchemar",2021-07-22,171441,44,false,12141338138,2026-06-05T17:31:40Z,"rap francés","Universal Music Division Virgin Records",0.811,0.75,0,-4.779,1,0.0434,0.286,0.892,0.0771,0.477,123.043,4
spotify:track:5u7sqxq2luE6j9tOKFTxew,"Violin Sonata No13","Violin Sonata No13","Majes",2024-02-27,124864,54,false,12141338138,2026-06-05T17:39:34Z,"hard techno,techno,tekno","Impact Techno",0.599,0.889,10,-5.616,0,0.0483,0.021,0.769,0.17,0.0743,148.143,4
spotify:track:05g552Va218eUMsEkvqiTx,"Acid Rain","Mécanique Organique","Mathu",2023-06-02,214670,41,false,12141338138,2026-06-05T17:39:34Z,"tekno,trance psicodélico,acid techno","konfety production",0.714,0.52,1,-9.784,0,0.0809,0.207,0.604,0.0889,0.212,150.005,4
spotify:track:50m76cAUSRMXEeQHI9cEMc,"Nostalgia 98","Nostalgia 98","Kodaman",2023-09-21,219636,38,false,12141338138,2026-06-05T17:39:34Z,"tekno,acid techno,hard techno","Kodaman",0.611,0.913,7,-3.186,0,0.0391,0.0342,0.843,0.107,0.266,164.988,4
spotify:track:6R2ZVjF3rw7Pju9DdRj11K,"Sans Fin","Sans Fin","Montee;Shiita",2024-02-02,172283,47,false,12141338138,2026-06-05T17:39:34Z,"stutter house","recordJet",0.418,0.51,6,-11.695,0,0.0381,0.529,0.609,0.114,0.0398,166.059,4
spotify:track:3WW5HlIlGtnRX7h0OjWH9i,"Ancilla Domini","Ancilla Domini - Single","Contrefaçon",2019-01-03,181816,40,false,12141338138,2026-06-05T17:39:34Z,"tekno,acid techno","Panenka Music",0.454,0.934,7,-5.22,0,0.0343,0.0126,0.44,0.0703,0.146,149.959,4
spotify:track:1LamF1mUMBPRqQLcZx83ox,"Where Is My Mind","Where Is My Mind","Psychooz",2023-12-08,235354,44,false,12141338138,2026-06-05T17:39:34Z,"tekno","3lik",0.608,0.449,4,-12.608,1,0.0307,0.537,0.859,0.107,0.149,154.969,4
spotify:track:3KPyniKJP0SpJtg2My8RZy,"Mirage","Sturm und Drang","Schrotthagen",2024-06-07,156791,54,false,12141338138,2026-06-05T17:39:34Z,"techno,hard techno","Schrott",0.501,0.819,1,-11.817,0,0.0469,0.142,0.738,0.309,0.32,163.971,4
spotify:track:3ZBy9wOo7TH3TbVlhlOulc,"Psycomptine D'un Autre Été","Psycomptine D'un Autre Été","Mathu",2022-09-23,225896,41,false,12141338138,2026-06-05T17:39:34Z,"tekno,trance psicodélico,acid techno","Mathu",0.414,0.79,4,-9.387,0,0.0655,0.454,0.876,0.139,0.302,159.997,4
spotify:track:7wfYWAqavqIsNDdoXa3tdG,"A Demain","Mes Larmes","Evil Grimace",2020-12-06,184123,38,false,12141338138,2026-06-05T17:39:34Z,"gabber,tekno,hard techno,techno hardcore","Evil Grimace Records",0.498,0.6,2,-6.394,0,0.0334,0.00696,0.85,0.0858,0.0407,184.991,4
spotify:track:6iQwh5BYsrqdjaQVzz5iAE,"Cyclone","Cyclone","Montee;Kyrill",2024-03-01,186164,45,false,12141338138,2026-06-05T17:39:34Z,"stutter house,indie pop francés","recordJet",0.342,0.537,10,-14.436,0,0.0544,0.534,0.847,0.113,0.114,168.001,4
spotify:track:7IKSqdVzqy6bjhcWLQAbqg,"UFO","Alien Club","GRAViiTY",2023-12-01,200953,41,false,12141338138,2026-06-05T17:39:34Z,"trance psicodélico,tekno","GRAViiTY",0.744,0.718,8,-3.989,1,0.0716,0.255,0.863,0.13,0.0353,155.031,4
